statcode_21,num_votes_wijk_21,gm_code_21,RW_wijk_21,PVV_wijk_21
WK018305,940,GM0183,0.1425531914893617,0.09148936170212765
WK018306,825,GM0183,0.1478787878787879,0.09333333333333334
WK018307,638,GM0183,0.15830721003134796,0.10658307210031348
WK018400,12801,GM0184,0.24193422388875868,0.13787985313647372
WK018900,8634,GM0189,0.16585591846189485,0.0917303683113273
WK018903,4284,GM0189,0.21031746031746032,0.12044817927170869
WK018904,361,GM0189,0.12188365650969529,0.055401662049861494
WK018905,1327,GM0189,0.14167294649585532,0.07761868877166542
WK019701,2434,GM0197,0.11791290057518489,0.05135579293344289
WK019702,1131,GM0197,0.15915119363395225,0.09372236958443855
WK019703,9251,GM0197,0.1423629877851043,0.08182899146038267
WK019704,4365,GM0197,0.17823596792668958,0.11042382588774341
WK020001,16108,GM0200,0.12105785944872113,0.07611124906878569
WK020002,11713,GM0200,0.15265090070861437,0.08315546828310424
WK020003,8110,GM0200,0.19654747225647348,0.1159062885326757
WK020004,9395,GM0200,0.2676955827567855,0.16530069185737095
WK020005,13652,GM0200,0.20729563433929094,0.11756519191327278
WK020006,8997,GM0200,0.1691675002778704,0.08902967655885295
WK020007,12404,GM0200,0.17574975814253466,0.0928732666881651
WK020008,8844,GM0200,0.1348937132519222,0.06840796019900497
WK020010,1866,GM0200,0.14094319399785638,0.05037513397642015
WK020011,369,GM0200,0.0975609756097561,0.04878048780487805
WK020012,915,GM0200,0.1923497267759563,0.09836065573770492
WK020013,1984,GM0200,0.20967741935483872,0.1275201612903226
WK020014,2771,GM0200,0.1974016600505233,0.11800793937206784
WK020015,853,GM0200,0.16881594372801875,0.0914419695193435
WK020016,970,GM0200,0.15360824742268042,0.08762886597938144
WK020017,2211,GM0200,0.1890547263681592,0.10583446404341927
WK020201,13180,GM0202,0.11638846737481032,0.06790591805766312
WK020202,2167,GM0202,0.10383017997231195,0.03322565759113982
WK020203,2928,GM0202,0.15334699453551912,0.08743169398907104
WK020204,2447,GM0202,0.18430731507968942,0.11565181855333061
WK020205,3810,GM0202,0.18136482939632545,0.1173228346456693
WK020206,3478,GM0202,0.07561817136285222,0.030477285796434734
WK020207,3442,GM0202,0.142068564787914,0.07902382335851249
WK020208,5431,GM0202,0.10237525317621064,0.054686061498803167
WK020209,2368,GM0202,0.09712837837837837,0.05489864864864865
WK020210,2282,GM0202,0.24364592462751972,0.17791411042944785
WK020211,1859,GM0202,0.21086605701990319,0.14577729962345348
WK020212,4283,GM0202,0.05603548914312398,0.02264767686201261
WK020213,1006,GM0202,0.12624254473161034,0.073558648111332
WK020214,3704,GM0202,0.08720302375809935,0.04373650107991361
WK020215,1148,GM0202,0.07229965156794425,0.040940766550522645
WK020216,2057,GM0202,0.1750121536217793,0.10695187165775401
WK020217,2639,GM0202,0.23266388783630162,0.1504357711254263
WK020218,3307,GM0202,0.22316298760205625,0.1575446023586332
WK020219,3736,GM0202,0.2044967880085653,0.1284796573875803
WK020220,1325,GM0202,0.1909433962264151,0.1169811320754717
WK020221,4260,GM0202,0.22652582159624413,0.13708920187793427
WK020222,6504,GM0202,0.24123616236162362,0.1497539975399754
WK020223,6416,GM0202,0.21929551122194513,0.1337281795511222
WK020224,5974,GM0202,0.1402745229327084,0.0746568463341145
WK020354,22573,GM0203,0.1441102201745448,0.07300757542196429
WK020355,6971,GM0203,0.1883517429350165,0.09639936881365657
WK020356,3131,GM0203,0.15043117214947302,0.06675183647396998
WK020357,1356,GM0203,0.19100294985250738,0.09587020648967552
WK020358,801,GM0203,0.17478152309612985,0.08614232209737828
WK020359,1006,GM0203,0.2624254473161034,0.1272365805168986
WK020360,980,GM0203,0.1989795918367347,0.10714285714285714
WK020361,490,GM0203,0.14081632653061224,0.06326530612244897
WK020362,263,GM0203,0.12927756653992395,0.07224334600760456
WK020901,10280,GM0209,0.1990272373540856,0.12840466926070038
WK020902,2039,GM0209,0.2339382050024522,0.13683178028445317
WK020903,2813,GM0209,0.19018841094916458,0.11375755421258443
WK020904,1448,GM0209,0.17886740331491713,0.10773480662983426
WK021303,2483,GM0213,0.18485702778896496,0.10793395086588804
WK021304,453,GM0213,0.18101545253863136,0.12362030905077263
WK021305,604,GM0213,0.15728476821192053,0.07450331125827815
WK021306,3533,GM0213,0.1950183979620719,0.12340786866685537
WK021400,2261,GM0214,0.23087129588677577,0.14285714285714285
WK021401,2398,GM0214,0.19641367806505422,0.11968306922435362
WK021402,1855,GM0214,0.2555256064690027,0.15795148247978436
